EventName,Description
AccessKubernetesApi,Access EKS Kubernetes API (T1199.A002)
AddUserToGroup,Add user to privileged group (T1098.003)
AssumeRole,Lateral movement via roles
AssumeRoleWithWebIdentity,Lateral movement via roles
AssumeRoot,Escalate to org member root account (T1548 / AT1669)
AttachManagedPolicyToPermissionSet,Attach policy to permission set (T1098.003)
AttachRolePolicy,Inject permissions onto a role (T1098.003)
AttachUserPolicy,Inject permissions
AttachVolume,Attach volume to attacker instance (T1578.001)
AuthorizeSecurityGroupEgress,Open outbound firewall rule (T1562.007)
AuthorizeSecurityGroupIngress,Open inbound firewall rule (T1562.007)
ChangeResourceRecordSets,Modify Route53 records for subdomain takeover (T1491.A001)
ConsoleLogin,Interactive console sign-in (auth monitoring)
Converse,Bedrock Converse API abuse for LLMjacking (T1496.A007)
ConverseStream,Bedrock streaming Converse abuse for LLMjacking (T1496.A007)
CopyDBSnapshot,Copy RDS snapshot for exfil/encryption (T1486.A003)
CopyObject,Server-side copy for exfil/encryption (T1486.A001 / T1530.A001)
CreateAccessKey,Creates long-term credentials for backdoor
CreateAccount,Create AWS Organizations account (T1666.A001)
CreateAccountAssignment,Assign IAM Identity Center access (T1098.003)
CreateCluster,Create ECS/EKS cluster (T1496.A006 / T1496.A010)
CreateEnvironment,Create CloudShell environment (T1059.009)
CreateFunction,Deploy attacker-controlled Lambda
CreateInstanceProfile,IAM persistence for EC2-based access
CreateKeyPair,Create EC2 key pair for access (T1098.001)
CreateLoginProfile,Add IAM users (login backdoors)
CreateNetworkAclEntry,Add network ACL entry to bypass controls (T1562.007)
CreateNodegroup,Create EKS nodegroup for crypto mining (T1496.A010)
CreateOpenIDConnectProvider,Add OIDC federation trust (T1484.002)
CreatePermissionSet,Create IAM Identity Center permission set (T1098.003)
CreatePolicy,Inject permissions
CreatePolicyVersion,Swap policy version to escalate (T1098.003)
CreateRestApi,Create API Gateway REST API (AT1667.001)
CreateRole,Add custom roles with privileges
CreateSAMLProvider,Add SAML federation trust (T1484.002)
CreateSecurityGroup,Create permissive security group (T1562.007 / T1190.A019)
CreateService,Create ECS service (T1496.A006 / T1578.002)
CreateSession,Create CloudShell session (T1059.009)
CreateSnapshot,Create EBS snapshot for exfil (T1578.001)
CreateUser,Add IAM users (login backdoors)
CreateVolume,Create volume for data encryption/staging (T1486.A002)
CreateWorkspaces,Provision WorkSpaces for hijacking (T1496.A009)
DeactivateMFADevice,Disable MFA to weaken account security (T1556.006)
DeleteBucket,Delete S3 bucket (T1485.A003)
DeleteDBCluster,Delete RDS cluster (T1485.A001)
DeleteDBClusterSnapshot,Delete RDS cluster snapshot (T1485.A001)
DeleteDBInstance,Delete RDS instance (T1485.A001)
DeleteDBSnapshot,Delete RDS snapshot (T1485.A001)
DeleteDetector,Disable GuardDuty detector (T1562.A001)
DeleteLogGroup,Delete CloudWatch log group (T1562.008)
DeleteLoginProfile,Remove console access as defense evasion (T1531)
DeleteLogStream,Delete CloudWatch log stream (T1562.008)
DeleteMembers,Remove GuardDuty member accounts (T1562.A001)
DeleteObjects,Bulk S3 object deletion (T1485.A003)
DeleteObjectVersion,Delete S3 object versions to defeat recovery (T1485.A003)
DeletePolicy,Remove audit controls
DeleteRole,Delete IAM role to remove traces (T1070.A001 / T1531)
DeleteSAMLProvider,Remove SAML provider (T1484.002)
DeleteSecurityGroup,Remove security group control (T1562.007)
DeleteSnapshot,Delete EBS snapshot (T1578.003 / T1490)
DeleteTrail,Disable or delete CloudTrail
DeleteUser,Delete IAM user to remove traces (T1070.A001 / T1531)
DeleteVirtualMFADevice,Remove MFA device (account takeover)
DeregisterImage,Delete AMI image (T1485.A002)
DescribeCluster,EKS cluster discovery (T1190.A020)
DescribeDBInstances,RDS discovery (AT1023.001)
DescribeDBSnapshots,RDS snapshot discovery (AT1023.001)
DescribeInstances,EC2 and network layout recon
DescribeVpcs,EC2 and network layout recon
DetachPolicy,Remove audit controls
DisableOrganizationAdminAccount,Disable delegated GuardDuty admin (T1562.A001)
EnableRegion,Enable unused region for stealth ops (T1535)
ExecuteCommand,ECS container shell execution (T1496.A006)
GetAccessKeyLastUsed,Recon for keys in use
GetBucketAcl,S3 recon
GetBucketPolicy,S3 recon
